NUM_ANP,ID_ANP,ID_DOF,NOMBRE,CAT_MANEJO,ESTADOS,REGION,SUPERFICIE,S_TERRES,S_MARINA,PRIM_DEC,ULT_DOF,PM,CERT_SINAP
139,ANP00901139,9.1.05.139,Ría Lagartos,RB,Yucatán,Península de Yucatán y Caribe Mexicano,60347.82710000000,60347.82710000000,0.00000000000,1999/05/21,1999/05/21,2000/04/12,SINAP 034
173,ANP00404173,4.4.02.173,Río Bravo del Norte,MN,Chihuahua y Coahuila,Noreste y Sierra Madre Oriental,2175.00000000000,2175.00000000000,0.00000000000,2009/10/21,2009/10/21,2013/04/03,SINAP 065
36,ANP00603036,6.3.19.036,Sacromonte,PN,Estado de México,Centro y Eje Neovolcánico,43.73422700000,43.73422700000,0.00000000000,1939/08/29,1939/08/29,,
125,ANP00207125,2.7.03.125,Sierra de Álamos-Río Cuchujaqui,APFF,Sonora,Noroeste y Alto Golfo de California,92889.69415000000,92889.69415000000,0.00000000000,1996/07/19,1996/07/19,2015/06/05,SINAP 047
142,ANP00601142,6.1.03.142,Sierra de Huautla,RB,Morelos,Centro y Eje Neovolcánico,59030.94159000000,59030.94159000000,0.00000000000,1999/09/08,1999/09/08,2007/11/27,SINAP 041
146,ANP00303146,3.3.03.146,Sierra de Órganos,PN,Zacatecas,Norte y Sierra Madre Occidental,1124.65617600000,1124.65617600000,0.00000000000,2000/11/27,2000/11/27,2012/11/22,
45,ANP00103045,1.3.01.045,Sierra de San Pedro Mártir,PN,Baja California,Península de Baja California y Pacífico Norte,72910.67999999999,72910.67999999999,0.00000000000,1947/04/26,1947/04/26,2009/12/15,SINAP 030
113,ANP00401113,4.1.02.113,Sierra del Abra Tanchipa,RB,San Luis Potosí,Noreste y Sierra Madre Oriental,21464.44250000000,21464.44250000000,0.00000000000,1994/06/06,1994/06/06,2013/10/31,SINAP 068
161,ANP00601161,6.1.06.161,Sierra Gorda de Guanajuato,RB,Guanajuato,Centro y Eje Neovolcánico,236882.76319999999,236882.76319999999,0.00000000000,2007/02/02,2007/02/02,,SINAP 078
114,ANP00101114,1.1.03.114,Sierra La Laguna,RB,Baja California Sur,Península de Baja California y Pacífico Norte,112437.07249999999,112437.07249999999,0.00000000000,1994/06/06,1994/06/06,2003/06/19,SINAP 023
72,ANP00407072,4.7.02.072,Sierra La Mojonera,APFF,San Luis Potosí,Noreste y Sierra Madre Oriental,9201.50000000000,9201.50000000000,0.00000000000,1981/08/13,2000/06/07,2015/06/05,
169,ANP00707169,7.7.04.169,Sistema Arrecifal Lobos-Tuxpan,APFF,Veracruz,Planicie Costera y Golfo de México,30571.15034000000,0.00000000000,30571.15034000000,2009/06/05,2009/06/05,2014/01/06,SINAP 074
170,ANP00901170,9.1.08.170,Tiburón Ballena,RB,Quintana Roo,Península de Yucatán y Caribe Mexicano,145988.13620000001,0.00000000000,145988.13620000001,2009/06/05,2009/06/05,2015/07/09,SINAP 061
70,ANP00603070,6.3.24.070,Tula,PN,Hidalgo,Centro y Eje Neovolcánico,99.50028600000,99.50028600000,0.00000000000,1981/05/27,1981/05/27,,
18,ANP00307018,5.7.01.018,Tutuaca,APFF,Chihuahua,Norte y Sierra Madre Occidental,436985.66930000001,436985.66930000001,0.00000000000,1937/07/06,2001/12/27,2013/11/01,
63,ANP00107063,1.7.02.063,Valle de los Cirios,APFF,Baja California,Península de Baja California y Pacífico Norte,2521987.60999999987,2521987.60999999987,0.00000000000,1980/06/02,2000/06/07,2013/04/02,SINAP 066
